cohort,score,n,events,median_cutoff,high_n,low_n,hr_high_vs_low,ci_lower,ci_upper,p_value,logrank_p,c_index,c1q_genes_available
GSE30219,C1Q_score,289,196,0.10539216965216795,145,144,1.1019268851563986,0.8321411793511765,1.4591789114164888,0.49812570522753985,0.4909490364565794,0.478728391444477,"C1QA,C1QB,C1QC"
GSE30219,SPP1,289,196,0.10629956648648302,145,144,1.625131185069661,1.2231476849602685,2.159225252322421,0.000810203137520358,0.0007112086879791103,0.4340462935833577,"C1QA,C1QB,C1QC"
GSE30219,CD68,289,196,0.11457204254323845,145,144,0.920828265954317,0.6955448338486235,1.2190798552677833,0.564498988131344,0.5663901882323414,0.5238792850864342,"C1QA,C1QB,C1QC"
GSE30219,CD163,289,196,0.03575273620469491,145,144,1.027200909484227,0.7755889998486457,1.3604392386317126,0.8514954200924842,0.843771931117978,0.4993847055376502,"C1QA,C1QB,C1QC"
GSE30219,MARCO,289,196,-0.11524491415290058,145,144,0.8588962015893713,0.6486787236643061,1.1372389107160144,0.2882194066074194,0.2875016645232906,0.5426897157925579,"C1QA,C1QB,C1QC"
GSE30219,MSR1,289,196,-0.18946046266842423,145,144,1.174485332019492,0.8868604584244729,1.555392149943745,0.261780862500939,0.25863472108073926,0.4796366832698506,"C1QA,C1QB,C1QC"
GSE30219,MRC1,289,196,0.04298514586686546,145,144,0.801096495113661,0.6038630849513819,1.0627501671758275,0.12406778988533362,0.12422207450284369,0.5660416056255494,"C1QA,C1QB,C1QC"
GSE30219,LST1,289,196,0.10547145238286239,145,144,0.8477629412908102,0.6398721345188194,1.12319628540553,0.24990419703541983,0.24995695207434934,0.5363023732786405,"C1QA,C1QB,C1QC"
GSE30219,AIF1,289,196,0.159277982089766,145,144,1.0205701717237277,0.7708123532541059,1.3512542592436076,0.8869327054371307,0.8812599166436182,0.5130676823908585,"C1QA,C1QB,C1QC"
GSE30219,FCGR3A,289,196,0.0984715373282387,145,144,1.2119675862213497,0.9147797604958885,1.6057039010733627,0.1804434346816027,0.17603551958183022,0.48171696454731905,"C1QA,C1QB,C1QC"
GSE30219,APOE,289,196,-0.0024780767527880798,145,144,0.8802373183749889,0.6646054342891698,1.1658311784475544,0.3735956949335393,0.3715073581984194,0.48995019044828597,"C1QA,C1QB,C1QC"
GSE30219,TREM2,289,196,-0.02630620013977921,145,144,0.9507943499436597,0.718115104112097,1.2588648960427262,0.724571755347422,0.7240639702715274,0.5110753003222971,"C1QA,C1QB,C1QC"
GSE37745,C1Q_score,196,145,0.03178032842455912,98,98,1.1527269396940716,0.8319850200723382,1.5971193776793324,0.3929255566979133,0.3929888146053211,0.4861488635706437,"C1QA,C1QB,C1QC"
GSE37745,SPP1,196,145,0.2125578105557126,98,98,2.0622584510389395,1.4755213540048588,2.882309976292977,2.2616892978027702e-05,1.5323598781356494e-05,0.41796310219189176,"C1QA,C1QB,C1QC"
GSE37745,CD68,196,145,-0.036324908352776145,98,98,1.0432817395724574,0.7528943162377113,1.4456700823089768,0.799043414866496,0.7990346921802516,0.4838355213694986,"C1QA,C1QB,C1QC"
GSE37745,CD163,196,145,-0.0116096394154713,98,98,1.0106909248830647,0.7286116731689789,1.4019760913219412,0.9492166990787569,0.9490786327339635,0.4701289688277138,"C1QA,C1QB,C1QC"
GSE37745,MARCO,196,145,-0.110203070145759,98,98,1.0036698721222188,0.7242832642841499,1.3908276801086314,0.9824419358087219,0.9819065890355154,0.522584003238679,"C1QA,C1QB,C1QC"
GSE37745,MSR1,196,145,-0.04497091647354566,98,98,1.0945262366933692,0.7891169655742005,1.5181370254008342,0.5884395798610067,0.5896692025418813,0.4789775027470939,"C1QA,C1QB,C1QC"
GSE37745,MRC1,196,145,0.1908556452093104,98,98,0.778612501045145,0.5613726902837795,1.0799196991170286,0.13379489388783086,0.13300335484926407,0.5353652189000058,"C1QA,C1QB,C1QC"
GSE37745,LST1,196,145,0.011744006455021914,98,98,0.8648463518283709,0.6238818752985467,1.1988795345479795,0.3835320605215936,0.3825007133829428,0.5248395118847956,"C1QA,C1QB,C1QC"
GSE37745,AIF1,196,145,-0.06578381426595589,98,98,0.8863945798355787,0.6393893638580231,1.2288214280279397,0.4693204353060274,0.4689696095734083,0.505349603840148,"C1QA,C1QB,C1QC"
GSE37745,FCGR3A,196,145,0.07085799278739942,98,98,1.066357160618828,0.7696628155079971,1.47742306252969,0.6993406932422038,0.6996181142844744,0.45966109536753225,"C1QA,C1QB,C1QC"
GSE37745,APOE,196,145,0.08593306855319652,98,98,0.9124895041519488,0.6584445953832483,1.2645514915386802,0.5822604463446421,0.5816781230889081,0.5084726158116939,"C1QA,C1QB,C1QC"
GSE37745,TREM2,196,145,-0.01687077004746628,98,98,0.8953056591443042,0.6459286564936513,1.2409609253861853,0.5067442823013973,0.5061402461393167,0.5219478341333642,"C1QA,C1QB,C1QC"
GSE42127,C1Q_score,173,61,0.12290366920021463,87,86,0.9546978906816469,0.5754526915146709,1.5838800928585957,0.8575530639061627,0.8564558431900349,0.551772827110135,"C1QA,C1QB,C1QC"
GSE42127,SPP1,173,61,0.06066784197057907,87,86,1.750457098378351,1.035238639674321,2.959800702789746,0.03669026394380761,0.03484834391845081,0.3992783181675557,"C1QA,C1QB,C1QC"
GSE42127,CD68,173,61,-0.013638254333038053,87,86,0.8003447166082545,0.48016503667914767,1.3340239635789473,0.3928994524501044,0.3890092485638752,0.5333385629118294,"C1QA,C1QB,C1QC"
GSE42127,CD163,173,61,0.18453293274733207,87,86,0.7136111465856155,0.4293314554275747,1.1861252235154298,0.19307288268321884,0.190914677588996,0.5491057420771885,"C1QA,C1QB,C1QC"
GSE42127,MARCO,173,61,0.10789458013936154,88,85,0.5282530193016937,0.31582515148238527,0.8835624746527487,0.015030111675813838,0.013482176672248209,0.6213523689990587,"C1QA,C1QB,C1QC"
GSE42127,MSR1,173,61,-0.05675131776824234,87,86,1.1008654221108063,0.6628031047419686,1.82845353156727,0.7104757903560392,0.7125358424066672,0.5583620960150611,"C1QA,C1QB,C1QC"
GSE42127,MRC1,173,61,-0.02585946554285299,87,86,1.6081437784847652,0.9660754814733278,2.6769403238919254,0.06766649747813934,0.0647814114790263,0.4557577659240665,"C1QA,C1QB,C1QC"
GSE42127,LST1,173,61,0.09783161928261218,87,86,0.7212324731174362,0.43405178411691064,1.1984198644348512,0.20718744705775852,0.20609556666603498,0.6040947599623471,"C1QA,C1QB,C1QC"
GSE42127,AIF1,173,61,0.04900994430161645,88,85,0.6617252500683048,0.3983005861609437,1.0993714842313178,0.11089416568952265,0.10809335450005962,0.5814245371823031,"C1QA,C1QB,C1QC"
GSE42127,FCGR3A,173,61,-0.08752460239334925,87,86,1.2205986666571107,0.7381675053918288,2.018323881995156,0.43724254452979294,0.436480763415096,0.47889865076874805,"C1QA,C1QB,C1QC"
GSE42127,APOE,173,61,0.17621371180307396,87,86,0.7706586945012591,0.4652935014397842,1.276430514444325,0.31157836152685825,0.3081908078186452,0.5623627235644807,"C1QA,C1QB,C1QC"
GSE42127,TREM2,173,61,-0.029124480604279725,87,86,1.0063550406969615,0.6074679459133707,1.667166925842386,0.9803765697095146,0.9826764828637055,0.5434577973015375,"C1QA,C1QB,C1QC"
GSE50081,C1Q_score,181,75,0.07531745713937774,91,90,1.8324342415149732,1.1558549850508406,2.9050488970542103,0.009994477625228457,0.008887911451257946,0.4045264776972094,"C1QA,C1QB,C1QC"
GSE50081,SPP1,181,75,0.02940291557908559,91,90,1.1665959816151592,0.7414663539897334,1.8354793538473642,0.5051721527303566,0.504681496218661,0.4787958690397715,"C1QA,C1QB,C1QC"
GSE50081,CD68,181,75,0.0972867944078254,91,90,1.7733072307772086,1.1182341293996525,2.8121289200992163,0.014892637149281669,0.013583806505803,0.4240826192045704,"C1QA,C1QB,C1QC"
GSE50081,CD163,181,75,0.01693646469716492,91,90,1.4536364172992589,0.9196398447999774,2.2977025687248442,0.10930136760986511,0.10718701288997994,0.44550648209184796,"C1QA,C1QB,C1QC"
GSE50081,MARCO,181,75,-0.04476603441370527,91,90,1.7318134412724675,1.0900204754491212,2.751487575622132,0.020078853928856666,0.01853891175030691,0.44297956493078444,"C1QA,C1QB,C1QC"
GSE50081,MSR1,181,75,-0.045770069580709435,91,90,1.345709850050979,0.8525407248825262,2.1241624566072925,0.20232909391561799,0.2008811250559172,0.4545154911008569,"C1QA,C1QB,C1QC"
GSE50081,MRC1,181,75,0.11172612195746716,91,90,1.130931031415817,0.7159816384047167,1.7863656401426755,0.59782521597818,0.5967919284540613,0.506152493957372,"C1QA,C1QB,C1QC"
GSE50081,LST1,181,75,0.00046324377805842754,91,90,1.3756680207629202,0.8722383323543917,2.1696621590128187,0.1700752621081107,0.16793104739323572,0.4675895407602725,"C1QA,C1QB,C1QC"
GSE50081,AIF1,181,75,0.0968360031268309,91,90,1.4919403942430707,0.9453418776118524,2.354583238814366,0.08570155279712348,0.08339997357505359,0.45912986156888597,"C1QA,C1QB,C1QC"
GSE50081,FCGR3A,181,75,-0.07502654407163069,91,90,1.3886474443522692,0.8816473223112468,2.1872030639767863,0.15662348201937645,0.1538860023661861,0.44726433750823996,"C1QA,C1QB,C1QC"
GSE50081,APOE,181,75,-0.010132216008114975,91,90,1.2370963983940586,0.7861163855868434,1.9467950636559845,0.3577207077284533,0.3568206060730802,0.44649527576356846,"C1QA,C1QB,C1QC"
GSE50081,TREM2,181,75,0.09686984672311005,91,90,1.3101252894998685,0.8304481941594677,2.066869777378931,0.2455380068618298,0.24361242784174014,0.44990112063282794,"C1QA,C1QB,C1QC"
GSE68465,C1Q_score,442,236,0.18728506685612925,221,221,0.9391655174820999,0.7271277915034899,1.213035562020857,0.6307069264670049,0.6325535442480703,0.49010132737349177,"C1QA,C1QB"
GSE68465,SPP1,442,236,0.22355638689261803,221,221,1.161730264477334,0.8986892684844043,1.5017617932376561,0.252426871045937,0.24980119634548878,0.4657736971655517,"C1QA,C1QB"
GSE68465,CD68,442,236,0.16976798409694915,221,221,1.0309940310893404,0.7963762444178758,1.3347317924065245,0.8167763122165985,0.8158359953984575,0.515667235469111,"C1QA,C1QB"
GSE68465,CD163,442,236,0.22755412178630544,221,221,1.6137175082605435,1.2451773163820001,2.0913360388166007,0.00029728602541807613,0.0002584577849955465,0.43972455867474064,"C1QA,C1QB"
GSE68465,MARCO,442,236,0.22936292592985072,221,221,1.0019249910007357,0.7755396107387401,1.2943938306846812,0.9882580264256368,0.989342738103096,0.5074900711254738,"C1QA,C1QB"
GSE68465,MSR1,442,236,0.02139084365304098,221,221,1.0414279929976553,0.8060098573509099,1.345606700349494,0.7561979230472138,0.757719894175541,0.5308436900681053,"C1QA,C1QB"
GSE68465,MRC1,442,236,0.0852249843848079,221,221,1.0382989064359205,0.8038420210563515,1.34113991414546,0.7734870774161308,0.7725541953174994,0.5026653176484801,"C1QA,C1QB"
