cohort,score,n,events,median_cutoff,high_n,low_n,hr_high_vs_low,ci_lower,ci_upper,p_value,logrank_p,c_index,c1q_genes_available,histology_group
GSE30219,C1Q_score,83,43,0.4847236978937139,42,41,1.8748901151791548,1.0160938646791737,3.4595356454656025,0.04432056078341633,0.04266733071367782,0.40651494868362337,"C1QA,C1QB,C1QC",LUAD
GSE30219,C1Q_score,82,62,0.021278784717221312,41,41,0.9184861949470737,0.5575354271685037,1.5131179996807413,0.7385011950655888,0.7337736062282134,0.491971301674069,"C1QA,C1QB,C1QC",LUSC
GSE31210,C1Q_score,178,26,-0.08543215707678577,89,89,4.642453346276705,1.7496356577233891,12.318206351829579,0.00204558226029249,0.0006885543608410887,0.283987915407855,"C1QA,C1QB,C1QC",LUAD
GSE37745,C1Q_score,106,77,-0.005838492957017227,53,53,1.04006030928542,0.6642056126141035,1.6286002804064745,0.8636956334779714,0.8633490504001515,0.48102790604296325,"C1QA,C1QB,C1QC",LUAD
GSE37745,C1Q_score,66,52,0.03995479943433299,33,33,1.210140775920262,0.6968319686248644,2.1015693359115493,0.4982123006631075,0.4975744916413175,0.48483341621084036,"C1QA,C1QB,C1QC",LUSC
GSE42127,C1Q_score,131,41,0.12906118489135224,66,65,1.14179455431344,0.6149326055322651,2.1200612758716746,0.6745100405048841,0.6698631982266073,0.5143201688272535,"C1QA,C1QB,C1QC",LUAD
GSE42127,C1Q_score,42,20,-0.03489878888462775,21,21,0.6393541446623505,0.2553350933031657,1.600930436191858,0.33951793544065456,0.3448689245579175,0.6208333333333333,"C1QA,C1QB,C1QC",LUSC
GSE50081,C1Q_score,130,54,0.06461176915509659,65,65,2.022396058633811,1.1721827806817369,3.4892901392040536,0.011378361186063595,0.009815952220109997,0.3980056362453935,"C1QA,C1QB,C1QC",LUAD
GSE50081,C1Q_score,43,17,0.07291902184427236,22,21,1.4109687089495844,0.5365583080502557,3.710375308266384,0.4852395039929641,0.4830963399265309,0.4598393574297189,"C1QA,C1QB,C1QC",LUSC
GSE68465,C1Q_score,442,236,0.18728506685612925,221,221,0.9391655174820999,0.7271277915034899,1.213035562020857,0.6307069264670049,0.6325535442480703,0.49010132737349177,"C1QA,C1QB",LUAD
GSE72094,C1Q_score,398,113,0.13790859469099404,199,199,1.0937610467777972,0.7553388679745779,1.5838099668514956,0.6351602439109678,0.6345999767488958,0.5203112067538487,"C1QA,C1QB,C1QC",LUAD
