dataset,marker,n_samples,spearman_rho,p_value,c1q_genes_available
CPTAC3_LUAD_Proteome,SPP1,225,-0.05031078803202698,0.4526922525215147,"C1QA,C1QB,C1QC"
CPTAC3_LUAD_Proteome,CD68,207,0.39123264170752564,5.583566430189908e-09,"C1QA,C1QB,C1QC"
CPTAC3_LUAD_Proteome,CD163,225,0.33131795195954494,3.647649580439636e-07,"C1QA,C1QB,C1QC"
CPTAC3_LUAD_Proteome,APOE,225,0.7051759376316898,3.76361062872899e-35,"C1QA,C1QB,C1QC"
CPTAC3_LUAD_Proteome,TREM2,161,0.41253450655624574,5.393010517622924e-08,"C1QA,C1QB,C1QC"
CPTAC3_LUSC_Proteome,SPP1,217,-0.16519046209783114,0.014846060368924222,"C1QA,C1QB,C1QC"
CPTAC3_LUSC_Proteome,CD68,217,0.3434835609295509,2.1102325962653157e-07,"C1QA,C1QB,C1QC"
CPTAC3_LUSC_Proteome,CD163,217,0.3175296062984729,1.8003806779140642e-06,"C1QA,C1QB,C1QC"
CPTAC3_LUSC_Proteome,APOE,217,0.7195140855987261,6.80591956444278e-36,"C1QA,C1QB,C1QC"
AcademiaSinica_LUAD_Proteome,SPP1,232,-0.07632488866764431,0.24688172316566837,"C1QA,C1QB,C1QC"
AcademiaSinica_LUAD_Proteome,CD68,240,0.2927620271185263,3.964255982646211e-06,"C1QA,C1QB,C1QC"
AcademiaSinica_LUAD_Proteome,CD163,248,0.19993045185836725,0.0015528922509741745,"C1QA,C1QB,C1QC"
AcademiaSinica_LUAD_Proteome,APOE,248,0.5182666148464826,1.896144756588156e-18,"C1QA,C1QB,C1QC"
AcademiaSinica_LUAD_Proteome,TREM2,144,0.19442167028373927,0.01954060426302174,"C1QA,C1QB,C1QC"
